name,lat,lng,Hemisphere,Continent,Country,NationalBird
Prague,50.087614,14.420586,Eastern,Europe,Czech Republic,Sorry!  This country has no national bird
Frankfurt,50.11094,8.680317,Eastern,Europe,Germany,White Stork
Kiev,50.43336733,30.51662797,Eastern,Europe,Ukraine,Sorry!  This country has no national bird
Brussels,50.850242,4.350504,Eastern,Europe,Belgium,Kestrel
Warsaw,52.230577,21.012446,Eastern,Europe,Poland,Sorry!  This country has no national bird
Amsterdam,52.373665,4.895211,Eastern,Europe,Netherlands,Sorry!  This country has no national bird
Berlin,52.52181866,13.40154862,Eastern,Europe,Germany,White Stork
Dublin,53.350406,-6.263313,Western,Europe,Republic of Ireland,Sorry!  This country has no national bird
Moscow,55.75216412,37.61552283,Eastern,Europe,Russia,Sorry!  This country has no national bird
New York City,40.74998,-73.98,Western,North America,USA,Bald Eagle
St Petersburg,59.93901,30.31602,Eastern,Europe,Russia,Sorry!  This country has no national bird
Marrakech,31.630682,-7.985056,Western,Africa,Morocco,Sorry!  This country has no national bird
Washington DC,38.89955,-77.0094,Western,North America,USA,Bald Eagle
